file_name,pred_po_date,gt_po_date,po_date_correct,doc_correct,is_day_month_swap_error
L2_A_001,2024-02-21,2024-02-21,True,False,False
L2_A_002,2024-03-29,2024-03-29,True,False,False
L2_A_003,2026-10-19,2026-10-19,True,False,False
L2_A_004,2024-08-05,2024-08-05,True,False,False
L2_A_005,2024-09-04,2024-09-04,True,False,False
L2_A_006,2024-08-11,2024-08-11,True,False,False
L2_A_007,2024-05-20,2024-05-20,True,False,False
L2_A_008,2024-08-07,2024-08-07,True,False,False
L2_A_009,2025-03-06,2025-03-06,True,False,False
L2_A_010,2026-11-09,2026-11-09,True,False,False
L2_A_011,2025-07-09,2025-09-07,False,False,True
L2_A_012,2025-05-16,2025-05-16,True,False,False
L2_A_013,2025-04-25,2025-04-25,True,False,False
L2_A_014,2025-03-27,2025-03-27,True,False,False
L2_A_015,2024-09-15,2024-09-15,True,False,False
L2_A_016,2026-06-11,2026-06-11,True,False,False
L2_A_017,2025-05-13,2025-05-13,True,False,False
L2_A_018,2024-01-26,2024-01-26,True,False,False
L2_A_019,2024-01-06,2024-01-06,True,False,False
L2_A_020,2026-08-21,2026-08-21,True,False,False
L2_A_021,2024-09-25,2024-09-25,True,False,False
L2_A_022,2026-02-24,2026-02-24,True,False,False
L2_A_023,2024-11-07,2024-11-07,True,False,False
L2_A_024,2026-06-01,2026-06-01,True,False,False
L2_A_025,2025-08-27,2025-08-27,True,False,False
L2_A_026,2026-01-19,2026-01-19,True,False,False
L2_A_027,2024-08-26,2024-08-26,True,False,False
L2_A_028,2024-02-13,2024-02-13,True,False,False
L2_A_029,2024-08-20,2024-08-20,True,False,False
L2_A_030,2026-05-01,2026-05-01,True,False,False
L2_A_031,2026-05-28,2026-05-28,True,False,False
L2_A_032,2025-07-13,2025-07-13,True,False,False
L2_A_033,2024-02-12,2024-02-12,True,False,False
L2_A_034,2025-10-09,2025-10-09,True,False,False
L2_A_035,2026-01-15,2026-01-15,True,False,False
L2_A_036,2024-06-07,2024-06-07,True,False,False
L2_A_037,2026-11-17,2026-11-17,True,False,False
L2_A_038,2026-05-16,2026-05-16,True,False,False
L2_A_039,2024-05-18,2024-05-18,True,False,False
L2_A_040,2026-03-02,2026-03-02,True,False,False
L2_A_041,2026-07-10,2026-07-10,True,False,False
L2_A_042,2025-12-12,2025-12-12,True,False,False
L2_A_043,2024-09-11,2024-09-11,True,False,False
L2_A_044,2026-10-16,2026-10-16,True,False,False
L2_A_045,2025-01-23,2025-01-23,True,False,False
L2_A_046,2025-02-11,2025-02-11,True,False,False
L2_A_047,2025-04-11,2025-04-11,True,False,False
L2_A_048,2025-06-25,2025-06-25,True,False,False
L2_A_049,2025-07-10,2025-07-10,True,False,False
L2_A_050,2024-03-17,2024-03-17,True,False,False
L2_B_001,2025-06-19,2025-06-19,True,False,False
L2_B_002,2026-12-12,2026-12-12,True,False,False
L2_B_003,2025-09-23,2025-09-23,True,False,False
L2_B_004,2026-05-18,2026-05-18,True,False,False
L2_B_005,2025-04-30,2025-04-30,True,False,False
L2_B_006,2026-02-11,2026-02-11,True,False,False
L2_B_007,2026-05-01,2026-01-05,False,False,True
L2_B_008,2024-10-08,2024-10-08,True,False,False
L2_B_009,2024-06-10,2024-06-10,True,False,False
L2_B_010,2026-03-26,2026-03-26,True,False,False
L2_B_011,2025-08-27,2025-08-27,True,False,False
L2_B_012,2024-12-13,2024-12-13,True,False,False
L2_B_013,2025-10-18,2025-10-18,True,False,False
L2_B_014,2026-08-09,2026-09-08,False,False,True
L2_B_015,2026-07-01,2026-07-01,True,False,False
L2_B_016,2026-11-22,2026-11-22,True,False,False
L2_B_017,2024-12-19,2024-12-19,True,False,False
L2_B_018,2026-10-10,2026-10-10,True,False,False
L2_B_019,2024-05-12,2024-12-05,False,False,True
L2_B_020,2026-04-28,2026-04-28,True,False,False
L2_B_021,2024-09-04,2024-04-09,False,False,True
L2_B_022,2024-07-05,2024-07-05,True,False,False
L2_B_023,2025-03-12,2025-03-12,True,False,False
L2_B_024,2026-01-18,2026-01-18,True,False,False
L2_B_025,2025-10-31,2025-10-31,True,False,False
L2_B_026,2026-07-21,2026-07-21,True,False,False
L2_B_027,2024-06-25,2024-06-25,True,False,False
L2_B_028,2024-07-14,2024-07-14,True,False,False
L2_B_029,2026-01-03,2026-01-03,True,False,False
L2_B_030,2025-02-08,2025-02-08,True,False,False
L2_B_031,2026-04-23,2026-04-23,True,False,False
L2_B_032,2026-01-02,2026-01-02,True,False,False
L2_B_033,2026-10-01,2026-10-01,True,False,False
L2_B_034,2025-10-11,2025-10-11,True,False,False
L2_B_035,2025-03-05,2025-03-05,True,False,False
L2_B_036,2024-12-03,2024-12-03,True,False,False
L2_B_037,2024-07-17,2024-07-17,True,False,False
L2_B_038,2025-04-27,2025-04-27,True,False,False
L2_B_039,2025-06-24,2025-06-24,True,False,False
L2_B_040,2024-07-01,2024-07-01,True,False,False
L2_B_041,2025-08-06,2025-08-06,True,False,False
L2_B_042,2026-03-24,2026-03-24,True,False,False
L2_B_043,2026-09-01,2026-09-01,True,False,False
L2_B_044,2026-12-21,2026-12-21,True,False,False
L2_B_045,2024-10-01,2024-01-10,False,False,True
L2_B_046,2026-10-30,2026-10-30,True,False,False
L2_B_047,2026-12-01,2026-12-01,True,False,False
L2_B_048,2024-03-21,2024-03-21,True,False,False
L2_B_049,2026-04-22,2026-04-22,True,False,False
L2_B_050,2026-07-06,2026-07-06,True,False,False
L2_C_001,2026-12-05,2026-12-05,True,False,False
L2_C_002,2026-11-07,2026-11-07,True,False,False
L2_C_003,2026-10-28,2026-10-28,True,False,False
L2_C_004,2025-05-01,2025-05-01,True,False,False
L2_C_005,2026-10-01,2026-10-01,True,False,False
L2_C_006,2026-08-30,2026-08-30,True,False,False
L2_C_007,2025-02-25,2025-02-25,True,False,False
L2_C_008,2025-09-09,2025-09-09,True,False,False
L2_C_009,2024-04-21,2024-04-21,True,False,False
L2_C_010,2026-09-09,2026-09-09,True,False,False
L2_C_011,2026-11-11,2026-11-11,True,False,False
L2_C_012,2026-11-26,2026-11-26,True,False,False
L2_C_013,2025-04-16,2025-04-16,True,False,False
L2_C_014,2025-04-15,2025-04-15,True,False,False
L2_C_015,2026-05-28,2026-05-28,True,False,False
L2_C_016,2025-06-19,2025-06-19,True,False,False
L2_C_017,2024-06-29,2024-06-29,True,False,False
L2_C_018,2025-02-14,2025-02-14,True,False,False
L2_C_019,2026-11-17,2026-11-17,True,False,False
L2_C_020,2025-06-27,2025-06-27,True,False,False
L2_C_021,2026-10-26,2026-10-26,True,False,False
L2_C_022,2024-11-02,2024-11-02,True,False,False
L2_C_023,2024-06-09,2024-06-09,True,False,False
L2_C_024,2026-03-24,2026-03-24,True,False,False
L2_C_025,2025-04-10,2025-04-10,True,False,False
L2_C_026,2026-02-13,2026-02-13,True,False,False
L2_C_027,2026-01-30,2026-01-30,True,False,False
L2_C_028,2026-12-03,2026-12-03,True,False,False
L2_C_029,2024-08-07,2024-08-07,True,False,False
L2_C_030,2026-01-21,2026-01-21,True,False,False
L2_C_031,2026-09-21,2026-09-21,True,False,False
L2_C_032,2024-08-04,2024-08-04,True,False,False
L2_C_033,2024-02-14,2024-02-14,True,False,False
L2_C_034,2025-09-07,2025-09-07,True,False,False
L2_C_035,2024-11-09,2024-11-09,True,False,False
L2_C_036,2026-09-26,2026-09-26,True,False,False
L2_C_037,2024-08-18,2024-08-18,True,False,False
L2_C_038,2024-04-18,2024-04-18,True,False,False
L2_C_039,2025-11-06,2025-06-11,False,False,True
L2_C_040,2026-12-08,2026-12-08,True,False,False
L2_C_041,2025-04-20,2025-04-20,True,False,False
L2_C_042,2025-02-22,2025-02-22,True,False,False
L2_C_043,2024-10-18,2024-10-18,True,False,False
L2_C_044,2024-07-05,2024-07-05,True,False,False
L2_C_045,2025-08-14,2025-08-14,True,False,False
L2_C_046,2024-04-22,2024-04-22,True,False,False
L2_C_047,2025-08-22,2025-08-22,True,False,False
L2_C_048,2025-02-28,2025-02-28,True,False,False
L2_C_049,2024-12-25,2024-12-25,True,False,False
L2_C_050,2026-04-27,2026-04-27,True,False,False
L2_D_001,2025-11-13,2025-11-13,True,False,False
L2_D_002,2024-12-16,2024-12-16,True,False,False
L2_D_003,2026-03-13,2026-03-13,True,False,False
L2_D_004,2026-06-10,2026-06-10,True,False,False
L2_D_005,2024-10-27,2024-10-27,True,False,False
L2_D_006,2025-10-13,2025-10-13,True,False,False
L2_D_007,2025-01-15,2025-01-15,True,False,False
L2_D_008,2025-11-09,2025-11-09,True,False,False
L2_D_009,2024-05-11,2024-11-05,False,False,True
L2_D_010,2024-04-21,2024-04-21,True,False,False
L2_D_011,2024-03-25,2024-03-25,True,False,False
L2_D_012,2024-09-06,2024-09-06,True,False,False
L2_D_013,2026-06-21,2026-06-21,True,False,False
L2_D_014,2026-09-14,2026-09-14,True,False,False
L2_D_015,2024-09-05,2024-05-09,False,False,True
L2_D_016,2026-10-15,2026-10-15,True,False,False
L2_D_017,2024-12-03,2024-12-03,True,False,False
L2_D_018,2024-12-23,2024-12-23,True,False,False
L2_D_019,2025-11-15,2025-11-15,True,False,False
L2_D_020,2024-07-19,2024-07-19,True,False,False
L2_D_021,2025-04-15,2025-04-15,True,False,False
L2_D_022,2026-03-18,2026-03-18,True,False,False
L2_D_023,2025-02-28,2025-02-28,True,False,False
L2_D_024,2024-08-20,2024-08-20,True,False,False
L2_D_025,2026-03-11,2026-03-11,True,False,False
L2_D_026,2024-02-15,2024-02-15,True,False,False
L2_D_027,2025-10-10,2025-10-10,True,False,False
L2_D_028,2025-11-24,2025-11-24,True,False,False
L2_D_029,2025-02-04,2025-02-04,True,False,False
L2_D_030,2026-01-07,2026-07-01,False,False,True
L2_D_031,2025-09-14,2025-09-14,True,False,False
L2_D_032,2025-06-12,2025-06-12,True,False,False
L2_D_033,2025-09-08,2025-09-08,True,False,False
L2_D_034,2024-10-11,2024-10-11,True,False,False
L2_D_035,2026-08-18,2026-08-18,True,False,False
L2_D_036,2026-10-22,2026-10-22,True,False,False
L2_D_037,2025-01-05,2025-01-05,True,False,False
L2_D_038,2026-04-14,2026-04-14,True,False,False
L2_D_039,2026-01-14,2026-01-14,True,False,False
L2_D_040,2024-11-08,2024-11-08,True,False,False
L2_D_041,2026-06-25,2026-06-25,True,False,False
L2_D_042,2025-12-23,2025-12-23,True,False,False
L2_D_043,2024-06-22,2024-06-22,True,False,False
L2_D_044,2024-07-19,2024-07-19,True,False,False
L2_D_045,2026-05-24,2026-05-24,True,False,False
L2_D_046,2025-09-06,2025-09-06,True,False,False
L2_D_047,2026-05-14,2026-05-14,True,False,False
L2_D_048,2024-08-17,2024-08-17,True,False,False
L2_D_049,2024-10-23,2024-10-23,True,False,False
L2_D_050,2024-10-03,2024-03-10,False,False,True
L2_E_001,2026-07-13,2026-07-13,True,False,False
L2_E_002,2026-06-10,2026-06-10,True,False,False
L2_E_003,2026-02-24,2026-02-24,True,False,False
L2_E_004,2024-09-27,2024-09-27,True,False,False
L2_E_005,2025-12-31,2025-12-31,True,False,False
L2_E_006,2025-10-27,2025-10-27,True,False,False
L2_E_007,2026-01-05,2026-01-05,True,False,False
L2_E_008,2024-09-18,2024-09-18,True,False,False
L2_E_009,2024-08-26,2024-08-26,True,False,False
L2_E_010,2026-03-13,2026-03-13,True,False,False
L2_E_011,2026-07-07,2026-07-07,True,False,False
L2_E_012,2025-03-04,2025-03-04,True,False,False
L2_E_013,2025-08-21,2025-08-21,True,False,False
L2_E_014,2026-05-28,2026-05-28,True,False,False
L2_E_015,2024-06-21,2024-06-21,True,False,False
L2_E_016,2026-11-23,2026-11-23,True,False,False
L2_E_017,2024-08-13,2024-08-13,True,False,False
L2_E_018,2026-05-05,2026-05-05,True,False,False
L2_E_019,2026-06-28,2026-06-28,True,False,False
L2_E_020,2026-10-30,2026-10-30,True,False,False
L2_E_021,2026-05-17,2026-05-17,True,False,False
L2_E_022,2024-10-13,2024-10-13,True,False,False
L2_E_023,2024-01-20,2024-01-20,True,False,False
L2_E_024,2026-12-27,2026-12-27,True,False,False
L2_E_025,2026-05-17,2026-05-17,True,False,False
L2_E_026,2024-09-18,2024-09-18,True,False,False
L2_E_027,2025-01-15,2025-01-15,True,False,False
L2_E_028,2025-02-16,2025-02-16,True,False,False
L2_E_029,2024-12-22,2024-12-22,True,False,False
L2_E_030,2024-10-31,2024-10-31,True,False,False
L2_E_031,2026-05-02,2026-02-05,False,False,True
L2_E_032,2026-01-07,2026-01-07,True,False,False
L2_E_033,2025-03-05,2025-03-05,True,False,False
L2_E_034,2024-03-06,2024-03-06,True,False,False
L2_E_035,2025-02-25,2025-02-25,True,False,False
L2_E_036,2025-01-02,2025-01-02,True,False,False
L2_E_037,2024-08-22,2024-08-22,True,False,False
L2_E_038,2024-02-02,2024-02-02,True,False,False
L2_E_039,2025-03-23,2025-03-23,True,False,False
L2_E_040,2025-09-24,2025-09-24,True,False,False
L2_E_041,2024-04-20,2024-04-20,True,False,False
L2_E_042,2024-11-15,2024-11-15,True,False,False
L2_E_043,2025-06-06,2025-06-06,True,False,False
L2_E_044,2024-07-01,2024-07-01,True,False,False
L2_E_045,2026-04-17,2026-04-17,True,False,False
L2_E_046,2025-12-03,2025-12-03,True,False,False
L2_E_047,2026-12-01,2026-12-01,True,False,False
L2_E_048,2025-04-03,2025-04-03,True,False,False
L2_E_049,2025-08-30,2025-08-30,True,False,False
L2_E_050,2025-11-22,2025-11-22,True,False,False
